species,identifier,higher_taxon,common_name,highest_common_name
Cydia pomonella,CEDA83B742BCA9008707547774E1F975E0D76EBB32362F1725666962DD1869DD,Tortricoidea,Tortrix moths,moths
Cydia pomonella,ED9E774897C2A26D97A361038B5A00773E6E093085C6D0DF04AC5105665A49D1,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_009593,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018581,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018583,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018584,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018597,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018604,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018624,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018625,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018629,Tortricoidea,Tortrix moths,moths
Cydia pomonella,IMG_018631,Tortricoidea,Tortrix moths,moths
Cydia pomonella,MEM348526_Cydia_pomonella_CEC_1527629515_lg,Tortricoidea,Tortrix moths,moths
Cydia pomonella,UDCC_TCN_00115474_1511284674,Tortricoidea,Tortrix moths,moths
Cydia pomonella,UDCC_TCN_00115477_1511284874,Tortricoidea,Tortrix moths,moths
Dalcera abrasa,CCDB-32787-F07%2B1547039940,Zygaenoidea,Burnet moths,moths
Danaus plexippus,008811_1558901310_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,189137_1558446413_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,189169_1558627232_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,189171_1558627605_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,189204_1558811252_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,Danaus plexippus_default,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,IMG_041295,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,UDCC_TCN_00061473_1473704940_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,UVGC0007072_dorsal_1646791255_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,UVGC0007081_dorsal_1652050112_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,UVGC0007096_1644615512,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,UVGC0007097_1646945352,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000007917_1636483678_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000007976_1632405259_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000007978_1645563652_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000007992_1645647188_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000007994_1645648120_lg,Papilionoidea,Papilionoid butterflies,butterflies
Danaus plexippus,VTEC000008003_1645651972_lg,Papilionoidea,Papilionoid butterflies,butterflies
Darapsa myron,CSU_ENT0057901_1-3_1581433957_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,CSU_ENT0057910_1-3_1581433918_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,CSU_ENT0057917_1-3_1581433375_lg,Bombycoidea,Sphynx/Silk moths,moths
